name,link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,link_type,vdf_alpha,vdf_beta,ref_volume,obs_volume,vdf_fftt,vdf_toll,geometry
,1,1,2,1,9654,6,1,25900.20064,96.54,60,1,0.15,4,5083.214,5083.214,6,,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)"
,2,1,3,1,6436,4,1,23403.47319,96.54,60,1,0.15,4,8782.614,8782.614,4,,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)"
,3,2,1,1,9654,6,1,25900.20064,96.54,60,1,0.15,4,5182.613,5182.613,6,,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)"
,4,2,6,1,8045,5,1,4958.180928,96.54,60,1,0.15,4,5483.214,5483.214,5,,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)"
,5,3,1,1,6436,4,1,23403.47319,96.54,60,1,0.15,4,8683.215,8683.215,4,,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)"
,6,3,4,1,6436,4,1,17110.52372,96.54,60,1,0.15,4,14796.577,14796.577,4,,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)"
,7,3,12,1,6436,4,1,23403.47319,96.54,60,1,0.15,4,10373.788,10373.788,4,,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)"
,8,4,3,1,6436,4,1,17110.52372,96.54,60,1,0.15,4,14791.177,14791.177,4,,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)"
,9,4,5,1,3218,2,1,17782.7941,96.54,60,1,0.15,4,18945.744,18945.744,2,,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)"
,10,4,11,1,9654,6,1,4908.82673,96.54,60,1,0.15,4,5240.831,,6,,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)"
,11,5,4,1,3218,2,1,17782.7941,96.54,60,1,0.15,4,18832.006,,2,,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)"
,12,5,6,1,6436,4,1,4947.995469,96.54,60,1,0.15,4,8554.285,,4,,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)"
,13,5,9,1,8045,5,1,10000,96.54,60,1,0.15,4,15714.926,,5,,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)"
,14,6,2,1,8045,5,1,4958.180928,96.54,60,1,0.15,4,5582.613,,5,,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)"
,15,6,5,1,6436,4,1,4947.995469,96.54,60,1,0.15,4,8519.162,,4,,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)"
,16,6,8,1,3218,2,1,4898.587646,96.54,60,1,0.15,4,12837.499,,2,,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)"
,17,7,8,1,4827,3,1,7841.81131,96.54,60,1,0.15,4,12616.312,,3,,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)"
,18,7,18,1,3218,2,1,23403.47319,96.54,60,1,0.15,4,15620.555,,2,,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)"
,19,8,6,1,3218,2,1,4898.587646,96.54,60,1,0.15,4,12901.775,,2,,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)"
,20,8,7,1,4827,3,1,7841.81131,96.54,60,1,0.15,4,12528.57,,3,,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)"
,21,8,9,1,16090,10,1,5050.193156,96.54,60,1,0.15,4,7211.184,,10,,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)"
,22,8,16,1,8045,5,1,5045.822583,96.54,60,1,0.15,4,8565.569,,5,,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)"
,23,9,5,1,8045,5,1,10000,96.54,60,1,0.15,4,15636.311,,5,,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)"
,24,9,8,1,16090,10,1,5050.193156,96.54,60,1,0.15,4,7156.641,,10,,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)"
,25,9,10,1,4827,3,1,13915.78842,96.54,60,1,0.15,4,21936.92,,3,,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)"
,26,10,9,1,4827,3,1,13915.78842,96.54,60,1,0.15,4,21903.76,,3,,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)"
,27,10,11,1,8045,5,1,10000,96.54,60,1,0.15,4,17616.918,,5,,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)"
,28,10,15,1,9654,6,1,13512.00155,96.54,60,1,0.15,4,22471.785,,6,,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)"
,29,10,16,1,6436,4,1,4854.917717,96.54,60,1,0.15,4,11370.813,,4,,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)"
,30,10,17,1,12872,8,1,4993.510694,96.54,60,1,0.15,4,8099.999,,8,,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)"
,31,11,4,1,9654,6,1,4908.82673,96.54,60,1,0.15,4,5449.17,,6,,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)"
,32,11,10,1,8045,5,1,10000,96.54,60,1,0.15,4,17464.998,,5,,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)"
,33,11,12,1,9654,6,1,4908.82673,96.54,60,1,0.15,4,8377.522,,6,,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)"
,34,11,14,1,6436,4,1,4876.508287,96.54,60,1,0.15,4,9587.549,,4,,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)"
,35,12,3,1,6436,4,1,23403.47319,96.54,60,1,0.15,4,10279.792,,4,,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)"
,36,12,11,1,9654,6,1,4908.82673,96.54,60,1,0.15,4,8460.422,,6,,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)"
,37,12,13,1,4827,3,1,25900.20064,96.54,60,1,0.15,4,13227.405,,3,,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)"
,38,13,12,1,4827,3,1,25900.20064,96.54,60,1,0.15,4,13316.306,,3,,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)"
,39,13,24,1,6436,4,1,5091.256152,96.54,60,1,0.15,4,10975.704,,4,,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)"
,40,14,11,1,6436,4,1,4876.508287,96.54,60,1,0.15,4,9661.071,,4,,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)"
,41,14,15,1,8045,5,1,5127.526119,96.54,60,1,0.15,4,8967.315,,5,,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)"
